cat,x,y,group
inj-p43,61874.99817699126,97624.99664323773,I
inj-p44,63124.99722449129,98124.9972147377,I
inj-p45,64374.99865308885,98124.9972147377,I
inj-p46,65374.99860554005,97874.9969291401,I
inj-p47,66124.9970815401,97374.99635764012,I
inj-p48,66874.99793863767,96874.99816723766,I
inj-p49,67374.99851013765,96124.9973101401,I
inj-p50,67374.99851013765,95374.99645273772,I
inj-p51,45374.99836749126,93374.99773868888,I
inj-p52,44124.99812944247,92124.99631009132,I
inj-p53,42874.99848636325,90874.99726259128,I
inj-p54,41874.99853421685,89874.99611959132,I
inj-p55,40874.99858176565,88874.99735768889,I
inj-p56,30874.99905786323,73874.99807214006,I
inj-p57,30624.99906975044,72624.99783409126,I
inj-p58,30624.99906975044,71124.99731014008,I
inj-p59,30624.99906975044,69624.99797673766,I
inj-p60,30624.99906975044,68124.99745309129,I
inj-p61,30624.99906975044,66624.99811968885,I
inj-p62,30624.99906975044,65124.99759573768,I
inj-p63,30624.99906975044,63624.99796485047,I
inj-p64,30624.99906975044,62124.998036478464,I
inj-p65,30874.99905786323,60874.99809591446,I
inj-p66,31124.99904597604,59624.99815535046,I
inj-p67,31624.999022201628,58374.99806604406,I
inj-p68,32874.99896276563,57124.998125784856,I
inj-p69,34124.99890332964,56374.99816144646,I
inj-p70,35624.999129491225,56374.99816144646,I
inj-p71,58874.99712908889,67124.99750064008,I
inj-p72,57874.99836749126,65874.99785786567,I
inj-p73,56874.99722449129,64624.998215091255,I
inj-p74,55874.99846258885,63374.997976737664,I
inj-p75,54874.99731958889,62124.998036478464,I
inj-p76,53624.99827208886,61124.99808402726,I
inj-p77,51874.99865308885,60624.998107801664,I
inj-p78,50374.99931999123,60124.99813157607,I
inj-p79,49124.99789108887,59624.99815535046,I
inj-p80,47874.99884358884,58874.99804226966,I
inj-p81,46624.99860554005,57874.99809012326,I
inj-p82,45374.99836749126,57124.998125784856,I
inj-p83,44124.99812944247,56374.99816144646,I
inj-p84,42624.99879604004,56374.99816144646,I
inj-p85,41124.99827208886,56374.99816144646,I
inj-p86,39624.99893899123,56374.99816144646,I
inj-p87,38124.99841504005,56374.99816144646,I
inj-p88,36874.99877226564,56374.99816144646,I
well-1,48124.99912949123,72874.99752441447,P
well-2,50624.998415040056,72874.99752441447,P
well-3,49374.99817699126,74124.99776246327,P
well-4,48124.99912949123,75374.99859609125,P
well-5,50624.998415040056,75374.99859609125,P
well-6,49374.99817699126,76624.99764359128,P
well-7,48124.99912949123,77874.9966910913,P
well-8,50624.998415040056,77874.9966910913,P
well-9,53124.99770058888,77874.9966910913,P
well-10,55624.99817699126,77874.9966910913,P
well-11,54374.99912949123,76624.99764359128,P
well-12,53124.99770058888,75374.99859609125,P
well-13,54374.99912949123,74124.99776246327,P
well-14,55624.99817699126,72874.99752441447,P
well-15,53124.99770058888,72874.99752441447,P
well-16,54374.99912949123,71624.99788164007,P
well-17,43124.99817699126,72874.99752441447,P
well-18,45624.99865308885,72874.99752441447,P
well-19,44374.998415040056,74124.99776246327,P
well-20,43124.99817699126,75374.99859609125,P
well-21,45624.99865308885,75374.99859609125,P
well-22,44374.998415040056,76624.99764359128,P
well-23,43124.99817699126,77874.9966910913,P
well-24,45624.99865308885,77874.9966910913,P
well-25,53124.99770058888,80374.99716718889,P
well-26,55624.99817699126,80374.99716718889,P
well-27,54374.99912949123,81624.9974052377,P
well-28,53124.99770058888,82874.99764359127,P
well-29,55624.99817699126,82874.99764359127,P
well-30,54374.99912949123,84124.99669109129,P
well-31,53124.99770058888,85374.99811968887,P
well-32,55624.99817699126,85374.99811968887,P
well-33,58124.99865308885,85374.99811968887,P
well-34,60624.99793894247,85374.99811968887,P
well-35,59374.99770058888,84124.99669109129,P
well-36,58124.99865308885,82874.99764359127,P
well-37,60624.99793894247,82874.99764359127,P
well-38,59374.99770058888,81624.9974052377,P
well-39,58124.99865308885,80374.99716718889,P
well-40,60624.99793894247,80374.99716718889,P
well-41,48124.99912949123,80374.99716718889,P
well-42,50624.998415040056,80374.99716718889,P
well-43,49374.99817699126,81624.9974052377,P
well-44,48124.99912949123,82874.99764359127,P
well-45,50624.998415040056,82874.99764359127,P
well-46,49374.99817699126,84124.99669109129,P
well-47,48124.99912949123,85374.99811968887,P
well-48,50624.998415040056,85374.99811968887,P
well-49,38124.99841504005,70374.99764359128,P
well-50,40624.99889144244,70374.99764359128,P
well-51,39374.99865308885,71624.99788164007,P
well-52,38124.99841504005,72874.99752441447,P
well-53,40624.99889144244,72874.99752441447,P
well-54,39374.99865308885,74124.99776246327,P
well-55,38124.99841504005,75374.99859609125,P
well-56,40624.99889144244,75374.99859609125,P
well-57,43124.99817699126,80374.99716718889,P
well-58,45624.99865308885,80374.99716718889,P
well-59,44374.998415040056,81624.9974052377,P
well-60,43124.99817699126,82874.99764359127,P
well-61,45624.99865308885,82874.99764359127,P
well-62,44374.998415040056,84124.99669109129,P
well-63,43124.99817699126,85374.99811968887,P
well-64,45624.99865308885,85374.99811968887,P
well-65,43124.99817699126,65374.99788164007,P
well-66,45624.99865308885,65374.99788164007,P
well-67,44374.998415040056,66624.99811968885,P
well-68,43124.99817699126,67874.99776246327,P
well-69,45624.99865308885,67874.99776246327,P
well-70,44374.998415040056,69124.99740523768,P
well-71,43124.99817699126,70374.99764359128,P
well-72,45624.99865308885,70374.99764359128,P
well-73,48124.99912949123,65374.99788164007,P
well-74,50624.998415040056,65374.99788164007,P
well-75,49374.99817699126,66624.99811968885,P
well-76,48124.99912949123,67874.99776246327,P
well-77,50624.998415040056,67874.99776246327,P
well-78,49374.99817699126,69124.99740523768,P
well-79,48124.99912949123,70374.99764359128,P
well-80,50624.998415040056,70374.99764359128,P
well-81,63124.99722449129,85374.99811968887,P
well-82,65624.99889113764,85374.99811968887,P
well-83,64374.99865308885,86624.99716718889,P
well-84,63124.99722449129,87874.99621468893,P
